timestamp,merch_id,hsn,batch_id,processed_count,error_count,processing_time_ms,batch_size,status
2024-12-03 08:00:00,MERCH001,HSN12345,BATCH001,1000,0,2500,1000,SUCCESS
2024-12-03 08:05:00,MERCH002,HSN12346,BATCH002,500,2,2700,502,SUCCESS
2024-12-03 08:10:00,MERCH001,HSN12345,BATCH003,1000,1,2450,1001,SUCCESS
2024-12-03 08:15:00,MERCH003,HSN12347,BATCH004,200,0,1800,200,SUCCESS
2024-12-03 08:20:00,MERCH001,HSN12345,BATCH005,1000,3,2600,1003,SUCCESS
2024-12-03 08:25:00,MERCH002,HSN12346,BATCH006,500,0,2900,500,SUCCESS
2024-12-03 08:30:00,MERCH004,HSN12348,BATCH007,2000,5,3100,2005,SUCCESS
2024-12-03 08:35:00,MERCH001,HSN12345,BATCH008,1000,2,2650,1002,SUCCESS
2024-12-03 08:40:00,MERCH003,HSN12347,BATCH009,200,0,1750,200,SUCCESS
2024-12-03 08:45:00,MERCH002,HSN12346,BATCH010,500,1,2850,501,SUCCESS
