timestamp,merch_id,hsn,batch_id,processed_count,error_count,processing_time_ms,batch_size,status
2024-12-03 10:00:00,MERCH001,HSN12345,BATCH101,1000,15,3200,1015,PARTIAL_SUCCESS
2024-12-03 10:05:00,MERCH002,HSN12346,BATCH102,500,10,3500,510,PARTIAL_SUCCESS
2024-12-03 10:10:00,MERCH001,HSN12345,BATCH103,1000,20,3800,1020,PARTIAL_SUCCESS
2024-12-03 10:15:00,MERCH003,HSN12347,BATCH104,200,8,2500,208,PARTIAL_SUCCESS
2024-12-03 10:20:00,MERCH001,HSN12345,BATCH105,1000,25,4100,1025,PARTIAL_SUCCESS
2024-12-03 10:25:00,MERCH002,HSN12346,BATCH106,500,12,3700,512,PARTIAL_SUCCESS
2024-12-03 10:30:00,MERCH004,HSN12348,BATCH107,2000,40,5200,2040,PARTIAL_SUCCESS
2024-12-03 10:35:00,MERCH001,HSN12345,BATCH108,1000,30,4500,1030,PARTIAL_SUCCESS
2024-12-03 10:40:00,MERCH003,HSN12347,BATCH109,200,6,2300,206,PARTIAL_SUCCESS
2024-12-03 10:45:00,MERCH002,HSN12346,BATCH110,500,15,3900,515,PARTIAL_SUCCESS
